Age_Ma,pCO2_probability_maximum,lw95_percent,lw68_percent,up68_percent,up95_percent
278,611.66,315.56,429.56,846.49,1036.87
278.5,636.82,321.66,440.55,865.11,1044.37
279,665.83,332.48,457.88,879.35,1056.86
279.5,681.58,339.72,465.98,879.71,1070.69
280,690.31,350.57,480.62,879.25,1071.88
280.5,675.83,360.75,482.31,868.6,1058.34
281,651.44,360.57,484.84,862.54,1056.9
281.5,633.54,338.52,477.91,867.83,1049.02
282,625.92,335.37,471.96,870.89,1063.02
282.5,616.27,344.52,477.84,868.86,1055.2
283,610.6,349.5,476.27,861.65,1075.03
283.5,612.56,356.97,481.39,855.05,1067.41
284,610.79,360.12,480.87,847.61,1090.7
284.5,591.4,345.51,474.98,842.55,1086.13
285,596.6,327.11,467.83,846.69,1071.97
285.5,639.35,315.66,461.67,837.43,1082.17
286,642.91,319.24,457.42,835.82,1080.62
286.5,638.81,325.55,452.39,829.81,1056.9
287,616.91,346.34,446.77,817.51,1028.5
287.5,565.92,328.07,446.46,819.21,1009.25
288,562.52,323.7,433.48,814.34,1000.26
288.5,562.75,304.14,421.6,804.84,1002.45
289,555.52,296.37,410.1,798.59,981.19
289.5,547.9,287.45,401.64,787,967.83
290,545.09,281.6,393.41,769.79,962.97
290.5,563.61,279.15,380.11,751.53,962.41
291,549.54,251.75,370.28,745.29,976.1
291.5,527.59,225.98,357.38,739.8,968.89
292,518.39,206.79,337.61,736.96,963.98
292.5,499.24,194.53,324.67,725.87,970.74
293,479.8,195.62,317.5,713.1,947.94
293.5,491.52,175.23,309.74,702.19,940.03
294,436.08,165.24,300.54,687.29,940.08
294.5,414.43,143.57,286.54,675.15,917.39
295,404.65,119.1,277.63,668.84,926.48
295.5,396.44,107.46,270.7,660.81,943.36
296,399.84,107.34,268.01,658.77,948.69
296.5,443.74,120.16,264.86,643.98,953.46
297,444.7,127.86,265.5,629.91,957.04
297.5,454.52,125.56,256.51,625.73,963.64
298,458.31,108.15,255.31,629.34,960.94
298.5,453.17,95.81,254.77,631.01,957.68
299,451.66,93.64,254.31,637.38,930.87
299.5,386.74,100.18,256.37,637.75,897.51
300,408.82,110.65,266.72,636.95,862.19
300.5,380.44,119.96,267.68,635.48,854.2
301,383.28,133.3,265.63,648.8,847.43
301.5,399.46,138.41,263.63,655,845.56
302,415.97,134.72,263.46,650.1,825.68
302.5,407.48,128.37,258.82,641.02,808.26
303,400.31,138.06,262.98,635.12,806.72
303.5,388.03,138.34,261.76,625.91,812.35
304,370.49,127.48,259.22,632.01,841.27
304.5,356.03,115.88,251.65,639.4,833.31
305,352.46,96.16,246.15,646.64,844.53
305.5,359.45,99.27,236.4,638.47,839.93
306,365,89.22,234.37,630.98,820.36
306.5,374.69,98.93,235.37,614.11,811.15
307,377.01,105.13,229.9,595.02,794.08
307.5,360.06,102.52,223.45,582.29,785.85
308,342.73,109.07,217.96,572.63,770.04
308.5,333.01,108.96,213.85,565.25,750.55
309,335.51,119.89,216.57,546.29,715.86
309.5,356.02,129.7,223.57,520.41,681.01
310,351.73,138.84,230.97,499.04,636.69
310.5,349.07,151.58,238.11,474.83,595.87
311,338.07,164.11,239.88,460.58,566.37
311.5,338.39,165.17,240.67,450.26,553.95
312,341.09,177.38,239.78,440.38,545.45
312.5,336.22,184.25,244.63,426.87,527.14
313,329.22,201.63,249.86,418.57,500.08
313.5,320.64,201.91,256.43,409.47,471.88
314,319.46,202.31,258.75,404.99,461.33
314.5,326.8,201.55,259.93,399.89,457.45
315,328.59,199.23,260.78,398.86,458.45
315.5,329.94,195.88,262.7,400.24,456.27
316,335.45,189.26,261.92,404.49,468.71
316.5,335.98,186,261.6,409.22,484.3
317,355.25,175.06,256.61,419.1,496.88
317.5,351.25,166.28,250.55,429.58,518.1
318,341.63,151.22,243.6,441.23,537.68
318.5,330.39,145.65,238.01,445,546.03
319,325.74,133.43,236.45,450.69,554.16
319.5,332.5,132.15,232.51,455.08,567.06
320,336.78,115.4,233.65,465.56,587.15
320.5,337.86,102.45,227.41,473.62,605.34
321,340.63,96.92,221.91,479.38,614.3
321.5,337.34,94.58,217.68,482.51,618.07
322,331.15,100.4,215.91,483.3,620.91
322.5,324.96,101.25,211.35,484.47,611.67
323,333.29,106.57,209.47,481.81,592.38
323.5,360.13,102.92,208.3,474.64,584.91
324,355.61,96.94,206.43,468.54,575.6
324.5,343.08,92.38,199.48,456.9,581.48
325,339.44,85.83,196.98,453.59,583.78
325.5,347.44,82.09,193.57,446.29,569.51
326,352.07,84.62,189.83,439.71,563.62
326.5,347.33,83.11,182.4,433.03,558.12
327,316.52,75.96,174.13,432.02,549.14
327.5,306.49,67.83,170.05,432.8,556.08
328,303.27,54.81,157.26,435.08,558.76
328.5,298.4,45.86,151.06,430.55,567.44
329,291.55,38.92,146.6,428.96,570.76
329.5,275.45,26.5,143.12,428.64,573.8
330,260.02,16.38,131.04,428.42,572.89
330.5,296.54,0.96,123,426.3,577.83
331,296.25,-19.09,114.9,430.21,592.57
331.5,301.06,-20.31,112.27,431.72,600.61
332,300.26,-24.02,107.13,432.44,601.25
332.5,283.85,-17.68,103.83,437.43,599.66
333,262.84,-16.49,100.93,435.49,593.16
333.5,223.42,-22.11,97.36,433.04,593.23
334,216.78,-21.35,95.73,435.31,610.45
334.5,218.06,-18.53,93.32,438.78,619.01
335,219.25,-13.42,93.96,443.21,645.79
335.5,256.43,-6.62,96.37,452.95,670.7
336,268.43,3.26,96.3,458.95,683.78
336.5,242.82,-1.7,95.66,467.79,707.52
337,231.43,-7.31,100.26,481.83,737.11
337.5,235.61,-3.72,105.09,503.4,778.45
338,226.56,-3.12,109.84,533.33,818.26
338.5,225.06,-0.91,118.08,555.59,852.09
339,238.15,5.62,123.69,578.4,893.02
339.5,274.07,26.8,134.78,616.69,943.46
340,299.46,27.14,150.14,638.07,981.17
340.5,318.48,20.48,164.07,672.27,1003.65
341,321.74,20.33,188,696.63,1050.81
341.5,297.31,25.73,202.76,713.8,1080.75
342,331.21,37.37,219.7,735.16,1081.17
342.5,425.02,24.82,225.56,758.24,1093.35
343,489.35,14.66,240.49,803.6,1095.39
343.5,548.45,8.44,250.86,843.74,1129.03
344,564.74,-7.7,256.27,873.22,1155.99
344.5,551.14,-9.33,260.04,905.34,1177.48
345,522.39,-24.63,265.36,935.82,1228.67
345.5,514.32,-40.49,268.29,964.27,1266.61
346,510.03,-56.81,267.99,995.52,1306.69
346.5,518.31,-81.38,271.72,1011.11,1383.57
347,542.51,-102.57,267.85,1052.22,1468.08
347.5,563.37,-123.84,274.83,1062.35,1542.4
348,585.47,-118.11,268.44,1091.4,1581.27
348.5,620.29,-118.63,269.26,1117.98,1606.04
349,644.64,-129.08,270.28,1124.4,1627.2
349.5,648.88,-112.42,270.48,1145.79,1651.1
350,647.81,-117.04,259.17,1159.11,1673.4
350.5,668.68,-118.89,263.85,1181.4,1703.91
351,681.12,-109.34,251.7,1200.19,1723.53
351.5,698.35,-110.72,246.49,1202.4,1777.1
352,699.26,-127,242.52,1209.15,1763.07
352.5,621.12,-111.61,254.58,1214.76,1785.92
353,579.88,-97.46,250.26,1242.9,1788.76
353.5,576.33,-90.83,248.58,1261.02,1820.77
354,588.87,-89.08,252.32,1268.86,1841.95
354.5,593.52,-105.19,253.44,1298.59,1892.97
355,589.04,-114.82,250.57,1314.02,1949.51
355.5,583.19,-117.07,234.77,1349.46,2010.18
356,583.12,-135.74,236.98,1388.01,2098.85
356.5,589.88,-166.21,227.24,1425.94,2157.18
357,585.7,-203.15,222.33,1456.76,2195.92
357.5,586.41,-238.53,218.47,1479.64,2217.87
358,572.86,-248.51,226.2,1483.77,2207.31
358.5,575.1,-224.76,228.74,1494.53,2212.88
359,590.22,-183.83,235.1,1515.22,2207.94
359.5,646.14,-182.45,251.44,1482.78,2213.08
360,699.76,-186.91,264.04,1463.46,2189.33
360.5,721.04,-182.54,273.42,1463.44,2167.18
361,704.84,-168.57,286.07,1458.31,2127.23
361.5,654.83,-148.09,285.14,1424.44,2100.47
362,637.95,-113.76,316.12,1383.48,2023.43
362.5,627.41,-90.06,338.08,1361.73,1993.93
363,803.6,-71.17,342.48,1324.4,1939.79
363.5,905.53,-26.64,362.47,1329.51,1899.5
364,851.18,15.11,375.87,1312.12,1837.44
364.5,830.05,28.11,378.54,1323.76,1815.46
365,832.07,43.32,396.89,1293.45,1782.73
365.5,813.17,47.97,411.66,1299.56,1753.25
366,776.76,51.49,422.46,1306.81,1736.88
366.5,773.96,38.6,423.43,1306.1,1770.64
367,800.26,46.07,418.36,1323.77,1814.74
367.5,809.37,61.48,415.78,1333.55,1844.57
368,797.64,67.84,411.5,1348.82,1883.85
368.5,808.39,64.39,416.25,1380.17,1932.43
369,809.75,35.15,421.73,1404.46,1998.63
369.5,795.75,13.04,410.38,1433.11,2032.37
370,810.78,3.43,392.63,1459.02,2093.19
370.5,819.49,-44.95,387.28,1488.63,2120.37
371,840.04,-87.74,368.52,1522.36,2120.45
371.5,872.29,-96.1,366.51,1553.85,2177.49
372,935.36,-105.78,374.49,1583.85,2231.84
372.5,969.96,-105.33,374.49,1618.32,2259.6
373,956.91,-85.06,379.81,1655.8,2277.75
373.5,948.43,-89.27,367.83,1698.51,2351.43
374,983.06,-91.78,355.61,1706.73,2361.22
374.5,1021.99,-96.89,349.72,1723.06,2367.98
375,1052.02,-142.51,350.83,1726.62,2378.6
375.5,1150.59,-163.13,352.08,1757.2,2385.62
376,1253.4,-187.97,341.71,1796.04,2387.86
376.5,1312.13,-199.33,331.74,1823.57,2398.71
377,1335.43,-202.21,347.06,1859.71,2439.12
377.5,1355.12,-189.69,361.29,1893.38,2461.87
378,1363.35,-179.87,365.82,1922.46,2480.93
378.5,1306.52,-172.45,404.54,1938.82,2518.6
379,1271.95,-147.92,416.91,1974.5,2642.81
379.5,1265.19,-118.7,438,2009.22,2732.36
380,1269.38,-105.89,458.45,2038.47,2763.62
380.5,1223.35,-111.27,458.49,2040.5,2838.46
381,1104.42,-96.88,460.1,2050.99,2879.35
381.5,1062.01,-101.76,500.53,2065.44,2918.55
382,1053.5,-95.18,505.41,2084.85,2905.07
382.5,1108.37,-100.73,515.67,2086.32,2885.12
383,1136.65,-103.1,514.8,2071.81,2853.16
383.5,1190.14,-102.7,522.61,2080.32,2886.66
384,1220.28,-109.62,507.51,2066.9,2884.36
384.5,1371.16,-96.98,506.89,2028.46,2843.67
385,1407.4,-76.66,482.79,1980.85,2752.74
385.5,1332.1,-79.16,493.1,1960.16,2712.24
386,1264.56,-89.23,488.68,1925.04,2643.53
386.5,1222.17,-53.94,484.93,1899.48,2676.48
387,1176.16,-68.98,468.76,1891.14,2684.7
387.5,1139.51,-58.34,467.81,1886.61,2650.95
388,1064.6,-37.28,483.55,1846.25,2667.93
388.5,979.58,-13.23,493.61,1802.47,2617.08
389,1017.44,37.76,499.78,1776.63,2647.81
389.5,1082.25,71.77,528.37,1791.77,2662.61
390,1128.63,82.34,524.12,1785.69,2694.9
390.5,1093.36,69.72,524.35,1811.93,2709.1
391,1000,93.71,531.79,1863.93,2751.7
391.5,972.17,125.09,542.26,1870.65,2800.89
392,985.51,119.31,576.27,1912.3,2749.52
392.5,1010.92,120.3,608.08,1975.85,2737.4
393,1046.21,108.16,627.56,2033.79,2785.42
393.5,1077.35,107.67,644.31,2090.51,2777.67
394,1113.5,115.94,669.71,2148.92,2762.62
394.5,1191.59,133.71,720.43,2181.32,2797.28
395,1296.84,152.96,754.58,2233.98,2850.62
395.5,1669.14,124.63,777.23,2304.89,2872.79
396,1709.91,169.97,794.74,2353.64,2913.39
396.5,1759.59,163.35,831.87,2405.66,2956.93
397,1788.11,187.11,870.01,2423.01,2972.3
397.5,1785.28,226.8,898.11,2454.67,2960.02
398,1809.43,224.74,926.23,2442.11,2981.95
398.5,1818.73,251.37,930.09,2475.79,2987.6
399,1826.32,292.64,948.26,2485.68,3006.78
399.5,1775.45,284.64,975.44,2513.27,3006.76
400,1731,315.48,973.77,2504.59,3034.89
400.5,1786.44,340.68,1017.58,2507.13,3017.13
401,1828.25,340.64,1031.63,2527.59,3033.37
401.5,1841.36,375.55,1028.96,2517.94,3057.89
402,1845.38,380.09,1015.75,2507.18,3060.64
402.5,1848.32,426.23,1013.82,2536.05,3116.52
403,1830.65,398.42,1024.85,2565.12,3170.8
403.5,1833.66,393.78,1054.64,2590.52,3178.8
404,1848.39,455.76,1077.61,2573.14,3176.02
404.5,1685.23,522.1,1129.17,2615.62,3158.95
405,1689.11,591.69,1153.56,2597.87,3154.75
405.5,1726.08,659.51,1204.98,2603.16,3158.91
406,1793.02,698.7,1251.82,2628.39,3206.52
406.5,1985.84,772.74,1269.97,2652.6,3217.09
407,2017.43,830.61,1282.32,2648.73,3155.23
407.5,2021.18,874.82,1333.58,2632.15,3116.78
408,2034.54,910.34,1402.74,2606.98,3062.64
408.5,1957.23,937.05,1423.01,2607.24,3034.98
409,2159.74,949.54,1435.33,2635.07,3026.94
409.5,2165.27,906.06,1434.32,2658.95,3111.18
410,2102.11,904.12,1422.1,2679.17,3202.53
410.5,2059.99,869.69,1405.22,2679.03,3266.02
411,2048.24,866.13,1395.62,2683.78,3321.02
411.5,2039.91,799.97,1382.35,2680.14,3373.91
412,2055.68,736.69,1347.43,2714.4,3390.2
412.5,2061.56,714.45,1290.05,2741.36,3410.98
413,2011.83,675.11,1261.38,2753.48,3453.64
413.5,1925.58,644.39,1233.15,2739.66,3399.23
414,1739.57,578.55,1195.58,2729.6,3405.42
414.5,1649.22,467.79,1147.05,2703.66,3377.68
415,1579.21,382.82,1093.86,2692.13,3367.12
415.5,1528.61,341.35,1048.65,2680.32,3347.73
416,1547.21,266.78,1007.68,2655.23,3380.54
416.5,1568.45,198.07,941.83,2634.47,3426.73
417,1504.45,92.75,874.31,2606.64,3458.21
417.5,1435.26,32.83,806.25,2583.53,3451.47
418,1387.93,-121.53,708.83,2565.37,3473.85
418.5,1354.84,-267.53,578.67,2554.53,3535.61
419,1414,-452.6,471.52,2587.45,3588.86
419.5,1443.91,-628.6,351.71,2576.42,3636.69
